
--- 50% Update ---
Interval 1: QPS = 4957.83 queries/sec, Latency = 2017.01 ms, Recall = 0.9769
Interval 2: QPS = 4897.69 queries/sec, Latency = 2041.78 ms, Recall = 0.9769
Interval 3: QPS = 4832.45 queries/sec, Latency = 2069.34 ms, Recall = 0.9769
Interval 4: QPS = 4961.52 queries/sec, Latency = 2015.51 ms, Recall = 0.9769
Interval 5: QPS = 4996.76 queries/sec, Latency = 2001.30 ms, Recall = 0.9769
Interval 6: QPS = 5000.14 queries/sec, Latency = 1999.95 ms, Recall = 0.9769
Interval 7: QPS = 5052.32 queries/sec, Latency = 1979.29 ms, Recall = 0.9769
Interval 8: QPS = 4972.51 queries/sec, Latency = 2011.06 ms, Recall = 0.9769
Interval 9: QPS = 4952.84 queries/sec, Latency = 2019.04 ms, Recall = 0.9769
Interval 10: QPS = 4971.35 queries/sec, Latency = 2011.53 ms, Recall = 0.9769
Interval 11: QPS = -1.00 queries/sec, Latency = -1.00 ms, Recall = -1.0000
Interval 12: QPS = 2361.32 queries/sec, Latency = 4234.91 ms, Recall = 0.9769
Interval 13: QPS = 2342.64 queries/sec, Latency = 4268.68 ms, Recall = 0.9769
Interval 14: QPS = 2341.85 queries/sec, Latency = 4270.12 ms, Recall = 0.9769
Interval 15: QPS = 2363.45 queries/sec, Latency = 4231.10 ms, Recall = 0.9769
Interval 16: QPS = 2399.54 queries/sec, Latency = 4167.47 ms, Recall = 0.9769
Interval 17: QPS = 2319.60 queries/sec, Latency = 4311.09 ms, Recall = 0.9769
Interval 18: QPS = 2315.67 queries/sec, Latency = 4318.41 ms, Recall = 0.9769
Interval 19: QPS = 2409.52 queries/sec, Latency = 4150.20 ms, Recall = 0.9769
Interval 20: QPS = 2390.07 queries/sec, Latency = 4183.99 ms, Recall = 0.9769
Interval 21: QPS = 2329.13 queries/sec, Latency = 4293.44 ms, Recall = 0.9769
Interval 22: QPS = 2349.16 queries/sec, Latency = 4256.84 ms, Recall = 0.9769
