
--- 25% Update ---
Interval 1: QPS = 22884.58 queries/sec, Latency = 436.98 ms, Recall = 0.9811
Interval 2: QPS = 22752.11 queries/sec, Latency = 439.52 ms, Recall = 0.9811
Interval 3: QPS = 85.11 queries/sec, Latency = 117501.24 ms, Recall = 0.9811
Interval 4: QPS = 22619.38 queries/sec, Latency = 442.10 ms, Recall = 0.9811
Interval 5: QPS = 22648.46 queries/sec, Latency = 441.53 ms, Recall = 0.9811
Interval 6: QPS = 22474.47 queries/sec, Latency = 444.95 ms, Recall = 0.9811
Interval 7: QPS = 22674.55 queries/sec, Latency = 441.02 ms, Recall = 0.9811

--- 75% Update ---
Interval 1: QPS = 22251.00 queries/sec, Latency = 449.42 ms, Recall = 0.9811
Interval 2: QPS = 22458.75 queries/sec, Latency = 445.26 ms, Recall = 0.9811
Interval 3: QPS = 85.67 queries/sec, Latency = 116725.71 ms, Recall = 0.9811
Interval 4: QPS = 20852.40 queries/sec, Latency = 479.56 ms, Recall = 0.9811
Interval 5: QPS = 19410.60 queries/sec, Latency = 515.18 ms, Recall = 0.9811
Interval 6: QPS = 20021.94 queries/sec, Latency = 499.45 ms, Recall = 0.9811
Interval 7: QPS = 19943.32 queries/sec, Latency = 501.42 ms, Recall = 0.9811
