
--- 25% Update ---
Interval 1: QPS = 1179.95 queries/sec, Latency = 8474.96 ms, Recall = 0.8532
Interval 2: QPS = 221.78 queries/sec, Latency = 45089.93 ms, Recall = 0.8532
Interval 3: QPS = 1188.18 queries/sec, Latency = 8416.22 ms, Recall = 0.8532
Interval 4: QPS = 1180.77 queries/sec, Latency = 8469.02 ms, Recall = 0.8532
Interval 5: QPS = 1179.58 queries/sec, Latency = 8477.61 ms, Recall = 0.8532
Interval 6: QPS = 1173.50 queries/sec, Latency = 8521.49 ms, Recall = 0.8532
Interval 7: QPS = 1163.14 queries/sec, Latency = 8597.45 ms, Recall = 0.8532
Interval 8: QPS = 1167.71 queries/sec, Latency = 8563.80 ms, Recall = 0.8532
Interval 9: QPS = 1175.48 queries/sec, Latency = 8507.17 ms, Recall = 0.8532

--- 75% Update ---
Interval 1: QPS = 519.85 queries/sec, Latency = 19236.34 ms, Recall = 0.8761
Interval 2: QPS = 285.28 queries/sec, Latency = 35052.86 ms, Recall = 0.8761
Interval 3: QPS = 1114.59 queries/sec, Latency = 8971.89 ms, Recall = 0.8761
Interval 4: QPS = 1112.43 queries/sec, Latency = 8989.36 ms, Recall = 0.8761
Interval 5: QPS = 1121.73 queries/sec, Latency = 8914.82 ms, Recall = 0.8761
Interval 6: QPS = 1124.07 queries/sec, Latency = 8896.27 ms, Recall = 0.8761
Interval 7: QPS = 1123.52 queries/sec, Latency = 8900.63 ms, Recall = 0.8761
Interval 8: QPS = 1128.12 queries/sec, Latency = 8864.32 ms, Recall = 0.8761
Interval 9: QPS = 1128.01 queries/sec, Latency = 8865.19 ms, Recall = 0.8761
