
--- 50% Update ---
Interval 1: QPS = 1186.29, Latency = 8429.61 ms, Recall = 0.9416
Interval 2: QPS = 1210.84, Latency = 8258.72 ms, Recall = 0.9416
Interval 3: QPS = 1239.44, Latency = 8068.14 ms, Recall = 0.9416
Interval 4: QPS = -1.00, Latency = -1.00 ms, Recall = -1.0000
Interval 5: QPS = -2.00, Latency = -2.00 ms, Recall = -2.0000
Interval 6: QPS = -3.00, Latency = -3.00 ms, Recall = -3.0000
Interval 7: QPS = -4.00, Latency = -4.00 ms, Recall = -4.0000
Interval 8: QPS = 27.11, Latency = 368875.63 ms, Recall = 0.9416
Interval 9: QPS = 1206.59, Latency = 8287.79 ms, Recall = 0.9416
Interval 10: QPS = 1211.00, Latency = 8257.62 ms, Recall = 0.9416
Interval 11: QPS = 1205.31, Latency = 8296.65 ms, Recall = 0.9416
